task,model,language,n,accuracy,chrf,mean_latency_ms
flores,Llama-8B-FFT,swh_Latn-to-eng_Latn,1012,,11.677098449356972,2125.91935770751
flores,Llama-8B-FFT,eng_Latn-to-swh_Latn,1012,,16.148178811870974,1158.3281916996045
flores,Llama-8B-FFT,luo_Latn-to-eng_Latn,1012,,16.986663228509375,1979.214575098814
flores,Llama-8B-FFT,eng_Latn-to-luo_Latn,1012,,11.097823357091805,2917.751195652174
flores,Llama-8B-FFT,kik_Latn-to-eng_Latn,1012,,13.628807493035053,1294.1982213438737
flores,Llama-8B-FFT,eng_Latn-to-kik_Latn,881,,8.044523042524963,1155.0301816118047
flores,Llama-8B-FFT,kam_Latn-to-eng_Latn,1012,,13.613261995589653,829.7595059288537
flores,Llama-8B-FFT,eng_Latn-to-kam_Latn,1012,,15.531790069739982,2086.0919960474307
flores,Llama-8B-CPT,swh_Latn-to-eng_Latn,1012,,22.11193336432641,964.8445158102767
flores,Llama-8B-CPT,eng_Latn-to-swh_Latn,1012,,39.20684047575081,915.4111067193676
flores,Llama-8B-CPT,luo_Latn-to-eng_Latn,1012,,15.529720452624115,900.7056027667984
flores,Llama-8B-CPT,eng_Latn-to-luo_Latn,1012,,13.400673478640519,1804.8796541501977
flores,Llama-8B-CPT,kik_Latn-to-eng_Latn,1012,,20.67216459079479,961.8701877470356
flores,Llama-8B-CPT,eng_Latn-to-kik_Latn,1012,,13.013961314025549,1876.3645059288535
flores,Llama-8B-CPT,kam_Latn-to-eng_Latn,1012,,16.126954046131967,878.3903063241106
flores,Llama-8B-CPT,eng_Latn-to-kam_Latn,1012,,20.384637645320268,1150.5933003952568
flores,Llama-8B-QLoRA,swh_Latn-to-eng_Latn,1012,,11.138376172035741,726.9953557312253
flores,Llama-8B-QLoRA,eng_Latn-to-swh_Latn,1012,,26.24074393464348,1165.6396739130437
flores,Llama-8B-QLoRA,luo_Latn-to-eng_Latn,1012,,11.555727676360874,2143.962885375494
flores,Llama-8B-QLoRA,eng_Latn-to-luo_Latn,1012,,6.688095208791969,4227.700662055337
flores,Llama-8B-QLoRA,kik_Latn-to-eng_Latn,1012,,11.105799783550717,1796.2036561264822
flores,Llama-8B-QLoRA,eng_Latn-to-kik_Latn,1012,,6.3443243181430855,2906.847302371542
flores,Llama-8B-QLoRA,kam_Latn-to-eng_Latn,1012,,9.350687662476039,1797.1347727272725
flores,Llama-8B-QLoRA,eng_Latn-to-kam_Latn,1012,,8.903923230478549,1717.9927173913043
flores,Gemma2-27B-FFT,swh_Latn-to-eng_Latn,1012,,10.85676680385538,2973.7913932806327
flores,Gemma2-27B-FFT,eng_Latn-to-swh_Latn,1012,,10.942283173119494,2466.6439328063243
flores,Gemma2-27B-FFT,luo_Latn-to-eng_Latn,1012,,10.237469216679825,7401.452677865613
flores,Gemma2-27B-FFT,eng_Latn-to-luo_Latn,1012,,9.859696698841223,2111.8144466403164
flores,Gemma2-27B-FFT,kik_Latn-to-eng_Latn,1012,,5.702572705458066,7819.358804347827
flores,Gemma2-27B-FFT,eng_Latn-to-kik_Latn,1012,,11.783177260781605,2422.4055928853754
flores,Gemma2-27B-FFT,kam_Latn-to-eng_Latn,1012,,5.005209225997554,7484.831482213439
flores,Gemma2-27B-FFT,eng_Latn-to-kam_Latn,1012,,11.6659421741797,2474.6365810276684
flores,Gemma2-27B-CPT,swh_Latn-to-eng_Latn,1012,,8.800530770855072,4901.937786561265
flores,Gemma2-27B-CPT,eng_Latn-to-swh_Latn,1012,,6.003643065098483,5814.033745059289
flores,Gemma2-27B-CPT,luo_Latn-to-eng_Latn,1012,,9.070960647610992,2233.60121541502
flores,Gemma2-27B-CPT,eng_Latn-to-luo_Latn,1012,,7.711951887588519,6709.749990118577
flores,Gemma2-27B-CPT,kik_Latn-to-eng_Latn,1012,,7.806550569642935,1875.2615316205533
flores,Gemma2-27B-CPT,eng_Latn-to-kik_Latn,1012,,5.841684215874093,6711.58831027668
flores,Gemma2-27B-CPT,kam_Latn-to-eng_Latn,1012,,8.26622768151409,1611.97081027668
flores,Gemma2-27B-CPT,eng_Latn-to-kam_Latn,1012,,5.365894234892401,7431.677559288538
